Country Name,Year,Value (USD),Status
114,0.163265,0.003225,0
114,0.183673,0.002218,0
114,0.204082,0.000834,0
114,0.22449,0.001548,0
114,0.244898,0.004169,0
114,0.265306,0.002668,0
114,0.285714,0.008147,0
114,0.306122,0.012161,0
114,0.326531,0.010437,0
114,0.346939,0.010912,0
114,0.367347,0.048175,0
114,0.387755,0.051299,0
114,0.408163,0.036911,0
114,0.428571,0.034777,0
114,0.44898,0.04279,0
114,0.469388,0.03377,0
114,0.489796,0.061992,0
114,0.510204,0.05492,0
114,0.530612,0.041033,0
114,0.55102,0.036389,0
114,0.571429,0.054448,0
114,0.591837,0.063958,0
114,0.612245,0.067312,0
114,0.632653,0.107287,0
114,0.653061,0.220069,0
114,0.673469,0.146041,0
114,0.693878,0.146504,0
114,0.714286,0.176497,0
114,0.734694,0.158541,0
114,0.755102,0.150496,0
114,0.77551,0.160878,0
114,0.795918,0.115784,0
114,0.816327,0.114297,0
114,0.836735,0.108538,0
114,0.857143,0.126754,0
114,0.877551,0.126704,0
114,0.897959,0.065915,0
115,0.367347,2e-06,0
115,0.387755,0.000101,0
115,0.408163,0.000482,0
115,0.428571,0.001505,0
115,0.44898,0.001367,0
115,0.469388,0.000584,0
115,0.489796,0.000276,0
115,0.510204,0.000308,0
115,0.530612,0.00055,0
115,0.55102,0.000508,0
115,0.571429,0.000431,0
115,0.591837,0.000433,0
115,0.612245,3.8e-05,0
115,0.632653,5.7e-05,0
115,0.653061,1.8e-05,0
115,0.673469,1.2e-05,0
115,0.693878,0.000101,0
115,0.714286,0.000178,0
115,0.734694,0.000261,0
115,0.755102,4.4e-05,0
115,0.77551,3.1e-05,0
115,0.795918,6e-06,0
116,0.367347,0.0,0
116,0.387755,0.00024,0
116,0.408163,0.000201,0
116,0.428571,0.000285,0
116,0.44898,0.0003,0
116,0.469388,0.000465,0
116,0.489796,0.00049,0
116,0.510204,0.000369,0
116,0.530612,0.000557,0
116,0.55102,0.000535,0
116,0.571429,0.000289,0
116,0.591837,0.000445,0
116,0.612245,0.000275,0
116,0.632653,0.00061,0
116,0.653061,0.001695,0
116,0.673469,0.000781,0
116,0.693878,0.000596,0
116,0.714286,0.000279,0
116,0.734694,0.000296,0
116,0.755102,0.000231,0
116,0.77551,0.000238,0
116,0.795918,0.000425,0
116,0.816327,0.00021,0
116,0.836735,0.000176,0
116,0.857143,0.000231,0
116,0.877551,0.0,0
116,0.897959,8.7e-05,0
116,0.918367,0.000267,0
116,0.938776,0.000209,0
116,0.959184,0.00024,0
116,0.979592,0.000181,0
116,1.0,0.000246,0
117,0.0,0.000516,0
117,0.020408,0.000429,0
117,0.040816,0.000483,0
117,0.061224,0.000631,0
117,0.081633,0.001213,0
117,0.102041,0.002995,0
117,0.122449,0.001502,0
117,0.142857,0.001497,0
117,0.163265,0.001971,0
117,0.183673,0.001058,0
117,0.204082,0.001402,0
117,0.22449,0.002992,0
117,0.244898,0.005714,0
117,0.265306,0.002543,0
117,0.285714,0.004271,0
117,0.306122,0.004759,0
117,0.326531,0.004663,0
117,0.346939,0.00418,0
117,0.367347,0.004568,0
117,0.387755,0.007709,0
117,0.408163,0.009205,0
117,0.428571,0.01538,0
117,0.44898,0.024281,0
117,0.469388,0.03133,0
117,0.489796,0.042029,0
117,0.510204,0.040692,0
117,0.530612,0.02041,0
117,0.55102,0.027523,0
117,0.571429,0.028315,0
117,0.591837,0.048349,0
117,0.612245,0.064247,0
117,0.632653,0.100277,0
117,0.653061,0.148751,0
117,0.673469,0.116956,0
117,0.693878,0.125543,0
117,0.714286,0.160005,0
117,0.734694,0.130343,0
117,0.755102,0.130939,0
117,0.77551,0.134048,0
117,0.795918,0.141809,0
117,0.816327,0.135051,0
117,0.836735,0.232276,0
117,0.857143,0.236477,0
117,0.877551,0.170273,0
117,0.897959,0.164388,0
117,0.918367,0.169591,0
117,0.938776,0.148895,0
117,0.959184,0.135109,0
117,0.979592,0.115451,0
117,1.0,0.110833,0
118,0.510204,0.296615,0
118,0.530612,0.143447,0
118,0.55102,0.113834,0
118,0.571429,0.16363,0
118,0.591837,0.21808,0
118,0.612245,0.274159,0
118,0.632653,0.368365,0
118,0.653061,0.630321,0
118,0.673469,0.600076,0
118,0.693878,0.608521,0
118,0.714286,0.617989,0
118,0.734694,0.43154,0
118,0.755102,0.369711,0
118,0.77551,0.331159,0
118,0.795918,0.450102,0
118,0.816327,0.471892,0
118,0.836735,0.476091,0
118,0.857143,0.712062,0
118,0.877551,0.736851,0
118,0.897959,0.70507,0
118,0.959184,0.98819,0
119,0.510204,0.296615,0
119,0.530612,0.143447,0
119,0.55102,0.113834,0
119,0.571429,0.16363,0
119,0.591837,0.21808,0
119,0.612245,0.274159,0
119,0.632653,0.368365,0
119,0.653061,0.630321,0
119,0.673469,0.600076,0
119,0.693878,0.608521,0
119,0.714286,0.617989,0
119,0.734694,0.43154,0
119,0.755102,0.369711,0
119,0.77551,0.331159,0
119,0.795918,0.450102,0
119,0.816327,0.471892,0
119,0.836735,0.476091,0
119,0.857143,0.712062,0
119,0.877551,0.736851,0
119,0.897959,0.70507,0
119,0.959184,0.98819,0
120,0.0,0.001043,0
120,0.020408,0.001132,0
120,0.061224,0.00124,0
120,0.081633,0.000646,0
120,0.102041,0.000512,0
120,0.122449,0.000887,0
120,0.142857,0.000697,0
120,0.163265,0.000687,0
120,0.183673,0.001319,0
120,0.204082,0.002153,0
120,0.22449,0.009124,0
120,0.244898,0.023584,0
120,0.265306,0.015164,0
120,0.285714,0.022824,0
120,0.306122,0.02611,0
120,0.326531,0.027816,0
120,0.346939,0.021978,0
120,0.367347,0.026198,0
120,0.387755,0.039991,0
120,0.408163,0.038054,0
120,0.428571,0.059771,0
120,0.44898,0.109743,0
120,0.469388,0.217094,0
120,0.489796,0.592092,0
120,0.510204,0.913981,0
120,0.530612,0.860222,0
120,0.55102,0.261775,0
120,0.571429,0.356876,0
120,0.591837,0.496911,0
120,0.612245,0.566457,0
120,0.632653,0.864892,0
120,0.673469,0.996843,0
120,0.693878,0.737628,0
120,0.714286,0.793189,0
120,0.734694,0.650813,0
120,0.755102,0.498897,0
120,0.77551,0.52809,0
120,0.795918,0.572393,0
120,0.816327,0.564702,0
120,0.836735,0.373023,0
120,0.857143,0.423845,0
120,0.877551,0.359976,0
120,0.897959,0.288692,0
120,0.918367,0.282452,0
120,0.938776,0.22997,0
120,0.959184,0.209342,0
120,0.979592,0.181685,0
120,1.0,0.159434,0
121,0.367347,0.000218,0
121,0.387755,0.000401,0
121,0.408163,4.9e-05,0
121,0.428571,3.4e-05,0
121,0.44898,0.000178,0
121,0.469388,0.000163,0
121,0.489796,0.00012,0
121,0.510204,7.7e-05,0
121,0.530612,7.5e-05,0
121,0.55102,0.000182,0
121,0.571429,0.000416,0
121,0.591837,0.000322,0
121,0.612245,0.000623,0
121,0.632653,0.000565,0
121,0.653061,0.000558,0
121,0.673469,0.000559,0
121,0.693878,0.000719,0
121,0.714286,0.002883,0
121,0.734694,0.002768,0
121,0.755102,0.000966,0
121,0.77551,0.000885,0
121,0.795918,0.0015,0
121,0.816327,0.001035,0
121,0.836735,0.000695,0
121,0.857143,0.001386,0
121,0.877551,0.000633,0
121,0.897959,0.000544,0
121,0.918367,0.001071,0
121,0.938776,0.003044,0
121,0.959184,0.000972,0
121,0.979592,0.00059,0
121,1.0,0.000862,0
122,0.387755,0.007988,0
122,0.408163,0.009434,0
122,0.428571,0.016058,0
122,0.44898,0.025157,0
122,0.469388,0.032033,0
122,0.489796,0.042371,0
122,0.530612,0.020618,0
122,0.918367,0.171687,0
123,0.387755,0.007988,0
123,0.408163,0.009434,0
123,0.428571,0.016058,0
123,0.44898,0.025157,0
123,0.469388,0.032033,0
123,0.489796,0.042371,0
123,0.530612,0.020618,0
123,0.918367,0.171687,0
124,0.387755,0.007988,0
124,0.408163,0.009434,0
124,0.428571,0.016058,0
124,0.44898,0.025157,0
124,0.469388,0.032033,0
124,0.489796,0.042371,0
124,0.530612,0.020618,0
124,0.591837,0.049632,0
124,0.612245,0.065805,0
124,0.632653,0.10334,0
124,0.897959,0.166687,0
124,0.918367,0.171682,0
124,0.938776,0.150587,0
125,0.0,6.3e-05,0
125,0.020408,7.3e-05,0
125,0.040816,0.000216,0
125,0.061224,0.000245,0
125,0.081633,0.00119,0
125,0.102041,0.001037,0
125,0.122449,0.002118,0
125,0.142857,0.002663,0
125,0.163265,0.005684,0
125,0.183673,0.004889,0
125,0.204082,0.006233,0
125,0.22449,0.009768,0
125,0.244898,0.011306,0
125,0.265306,0.010771,0
125,0.285714,0.010409,0
125,0.306122,0.009041,0
125,0.326531,0.011852,0
125,0.346939,0.016421,0
125,0.367347,0.023438,0
125,0.387755,0.051072,0
125,0.408163,0.057327,0
125,0.428571,0.075303,0
125,0.44898,0.088205,0
125,0.469388,0.115301,0
125,0.489796,0.123987,0
125,0.510204,0.218783,0
125,0.530612,0.173081,0
125,0.55102,0.107104,0
125,0.571429,0.114532,0
125,0.591837,0.178808,0
126,0.0,0.018273,0
